number_of_people_served	hour_of_day	day_of_week	percent_male	percent_female	percent_child
956	11	Tuesday	4.78	87.5	7.72
930	13	Thursday	10.94	67.97	21.09
486	13	Tuesday	10	75.38	14.62
364	14	Wednesday	7.1	84.15	8.74
942	9	Friday	5.79	72.73	21.49
736	11	Friday	6.33	76.58	17.09
882	11	Tuesday	4.85	83.98	11.17
554	13	Tuesday	7.69	81.2	11.11
398	12	Friday	7.25	86.47	6.28
346	16	Wednesday	10.14	48.65	41.22
236	9	Wednesday	4.28	84.49	11.23
168	9	Wednesday	4.27	88.41	7.32
192	14	Wednesday	9.82	75	15.18
2212	16	Tuesday	5.09	81.02	13.89
574	12	Wednesday	3.17	85.52	11.31
862	13	Tuesday	5.78	85.78	8.44
278	16	Friday	6.07	69.23	24.7
414	12	Tuesday	7.19	81.29	11.51
390	12	Wednesday	2.62	89.01	8.38
320	14	Wednesday	5.65	82.26	12.1
234	15	Wednesday	5.8	85.71	8.48
330	11	Friday	7.63	73.28	19.08
304	11	Tuesday	3.95	90.79	5.26
954	14	Tuesday	6.67	86.22	7.11
292	13	Tuesday	4.67	81.31	14.02
354	11	Tuesday	3.94	86.02	10.04
388	13	Monday	9.92	80.99	9.09
306	14	Thursday	4.21	84.58	11.21
